date,three_made,home,minutes
2017-10-17,1,1,41
2017-10-20,2,0,37
2017-10-21,1,1,31
2017-10-24,4,1,37
2017-10-25,1,0,41
2017-10-28,1,0,30
2017-10-29,1,1,39
2017-11-01,1,1,37
2017-11-03,2,0,42
2017-11-05,0,1,40
2017-11-07,2,1,36
2017-11-09,1,0,40
2017-11-11,1,0,41
2017-11-13,2,0,36
2017-11-15,4,0,36
2017-11-17,4,1,46
2017-11-20,3,0,27
2017-11-22,4,1,33
2017-11-24,3,1,39
2017-11-27,3,0,31
2017-11-28,1,1,28
2017-11-30,3,0,37
2017-12-02,0,1,39
2017-12-04,2,0,34
2017-12-06,5,1,41
2017-12-08,1,0,39
2017-12-09,2,1,38
2017-12-12,2,1,35
2017-12-14,1,1,38
2017-12-16,1,1,36
2017-12-17,2,0,41
2017-12-19,6,0,34
2017-12-21,2,1,39
2017-12-25,2,0,40
2017-12-27,0,0,37
2017-12-30,1,0,37
2018-01-02,0,1,33
2018-01-03,0,0,32
2018-01-06,4,0,37
2018-01-08,1,0,26
2018-01-11,0,0,32
2018-01-12,2,0,40
2018-01-15,0,1,36
2018-01-18,0,1,34
2018-01-20,0,1,38
2018-01-23,2,0,37
2018-01-26,0,1,39
2018-01-28,1,1,37
2018-01-30,2,0,37
2018-01-31,1,1,38
2018-02-03,1,1,31
2018-02-06,2,0,33
2018-02-07,5,1,48
2018-02-09,0,0,40
2018-02-11,2,0,27
2018-02-13,3,0,39
2018-02-22,1,1,36
2018-02-23,0,0,36
2018-02-25,2,1,39
2018-02-27,2,1,38
2018-03-01,2,1,39
2018-03-03,1,1,42
2018-03-05,5,1,28
2018-03-07,5,0,39
2018-03-09,3,0,38
2018-03-11,2,0,31
2018-03-13,1,0,33
2018-03-15,1,0,41
2018-03-17,2,0,39
2018-03-19,3,1,40
2018-03-21,1,1,39
2018-03-23,1,1,29
2018-03-25,1,0,38
2018-03-27,0,0,37
2018-03-28,4,0,36
2018-03-30,0,1,41
2018-04-01,2,1,38
2018-04-03,3,1,37
2018-04-05,2,1,38
2018-04-06,4,0,40
2018-04-09,3,0,38
2018-04-11,0,1,10
