date,three_made,home,minutes
2015-10-27,1,0,36
2015-10-28,0,0,30
2015-10-30,0,1,33
2015-11-02,0,0,33
2015-11-04,1,1,35
2015-11-06,3,1,36
2015-11-08,0,1,35
2015-11-10,1,1,37
2015-11-13,0,0,39
2015-11-14,5,0,45
2015-11-17,4,0,39
2015-11-19,1,1,34
2015-11-21,1,1,33
2015-11-23,0,1,34
2015-11-25,1,0,39
2015-11-27,2,0,38
2015-11-28,1,1,35
2015-12-01,0,1,37
2015-12-04,1,0,44
2015-12-08,1,1,40
2015-12-11,0,0,29
2015-12-15,0,0,35
2015-12-17,2,1,39
2015-12-20,0,1,25
2015-12-23,0,1,37
2015-12-25,1,0,38
2015-12-26,0,0,26
2015-12-28,1,0,35
2015-12-29,1,0,34
2016-01-02,4,1,29
2016-01-04,1,1,30
2016-01-06,4,0,39
2016-01-08,0,0,32
2016-01-10,3,0,37
2016-01-12,3,0,41
2016-01-14,1,0,37
2016-01-15,1,0,36
2016-01-18,0,1,32
2016-01-20,1,0,29
2016-01-21,1,1,35
2016-01-23,0,1,39
2016-01-25,1,1,38
2016-01-27,0,1,31
2016-01-29,0,0,35
2016-01-30,0,1,34
2016-02-01,0,0,43
2016-02-03,0,0,39
2016-02-05,0,1,38
2016-02-06,2,1,36
2016-02-08,1,1,30
2016-02-10,3,1,36
2016-02-18,0,1,34
2016-02-21,2,0,37
2016-02-22,0,1,37
2016-02-24,2,1,30
2016-02-26,2,0,40
2016-02-29,2,1,36
2016-03-04,1,1,30
2016-03-05,1,1,36
2016-03-07,2,1,37
2016-03-09,1,0,36
2016-03-10,1,0,34
2016-03-13,3,0,30
2016-03-14,2,0,36
2016-03-18,0,0,35
2016-03-19,0,0,26
2016-03-21,1,1,33
2016-03-23,1,1,36
2016-03-24,1,0,35
2016-03-26,2,0,35
2016-03-31,0,1,30
2016-04-01,1,0,44
2016-04-03,0,1,40
2016-04-05,1,0,28
2016-04-09,4,0,38
2016-04-11,3,1,32
