date,three_made,home,minutes
2016-10-25,0,1,32
2016-10-28,2,0,38
2016-10-29,2,1,39
2016-11-01,1,1,35
2016-11-03,1,1,36
2016-11-05,1,0,35
2016-11-08,2,1,36
2016-11-11,3,0,38
2016-11-13,2,1,38
2016-11-15,2,1,38
2016-11-18,1,1,28
2016-11-23,2,1,37
2016-11-25,2,1,29
2016-11-27,1,0,41
2016-11-29,3,0,32
2016-12-01,0,1,33
2016-12-02,1,0,44
2016-12-05,2,0,42
2016-12-07,1,0,32
2016-12-09,1,1,37
2016-12-10,5,1,42
2016-12-13,0,1,36
2016-12-17,2,1,38
2016-12-20,5,0,47
2016-12-21,4,1,34
2016-12-23,0,1,27
2016-12-25,4,1,40
2016-12-29,2,1,43
2016-12-31,4,0,35
2017-01-02,0,1,38
2017-01-04,1,1,36
2017-01-06,0,0,35
2017-01-08,2,0,39
2017-01-10,3,0,36
2017-01-11,2,0,30
2017-01-13,1,0,41
2017-01-16,1,0,35
2017-01-19,0,1,39
2017-01-21,2,1,45
2017-01-23,1,0,43
2017-01-25,0,1,44
2017-01-27,1,1,34
2017-01-29,0,1,36
2017-01-30,1,0,37
2017-02-01,1,1,34
2017-02-04,4,0,39
2017-02-06,6,0,42
2017-02-08,1,0,38
2017-02-09,1,0,40
2017-02-11,1,1,33
2017-02-14,2,0,39
2017-02-15,4,1,32
2017-02-23,0,1,37
2017-02-27,1,1,37
2017-03-01,3,0,40
2017-03-03,6,0,39
2017-03-06,2,1,38
2017-03-09,0,0,39
2017-03-11,2,0,37
2017-03-12,4,0,40
2017-03-14,0,1,28
2017-03-16,2,1,38
2017-03-19,3,0,37
2017-03-22,0,0,34
2017-03-24,0,0,39
2017-03-25,0,1,40
2017-03-27,0,0,29
2017-03-30,1,0,39
2017-03-31,3,1,29
2017-04-02,3,1,51
2017-04-04,0,1,37
2017-04-05,1,0,38
2017-04-07,1,1,41
2017-04-09,1,0,46
